,cnt,cnt_model1,cnt_model2,error_model1,error_model2
169,4744,4773.4185,5423.0,-29.41845703125,-679.0
20,1543,1318.0442,1162.0,224.955810546875,381.0
465,5918,6299.595,6457.0,-381.59521484375,-539.0
545,5463,6104.5776,6207.0,-641.57763671875,-744.0
639,6778,7579.3447,7013.0,-801.3447265625,-235.0
386,1977,1365.0914,1301.0,611.9085693359375,676.0
642,7328,7327.8276,6917.0,0.17236328125,411.0
689,5634,4099.114,4585.0,1534.88623046875,1049.0
48,2927,3653.6492,5305.0,-726.649169921875,-2378.0
188,4040,4286.465,3644.0,-246.46484375,396.0
409,3922,3736.6233,3777.0,185.376708984375,145.0
673,5107,5209.678,5629.0,-102.67822265625,-522.0
703,6606,6592.6855,6073.0,13.314453125,533.0
679,6536,5436.04,5459.0,1099.9599609375,1077.0
103,3267,4593.1245,3239.0,-1326.12451171875,28.0
239,4334,4611.1797,5130.0,-277.1796875,-796.0
535,6825,7058.3926,6598.0,-233.392578125,227.0
72,2046,2079.3074,2132.0,-33.307373046875,-86.0
547,5531,6036.166,7403.0,-505.166015625,-1872.0
439,6192,6440.938,7765.0,-248.93798828125,-1573.0
461,6460,5175.327,4220.0,1284.6728515625,2240.0
364,2485,2842.692,2660.0,-357.69189453125,-175.0
237,4661,4746.548,3873.0,-85.5478515625,788.0
361,2302,1800.0464,1011.0,501.95361328125,1291.0
705,5375,3519.4536,3830.0,1855.54638671875,1545.0
429,3333,2751.908,3292.0,581.092041015625,41.0
651,7109,5631.916,4220.0,1477.083984375,2889.0
197,5302,4945.365,3805.0,356.634765625,1497.0
575,6597,6800.2256,6830.0,-203.2255859375,-233.0
381,2935,2350.0757,3456.0,584.92431640625,-521.0
443,6153,6541.4233,7836.0,-388.42333984375,-1683.0
473,4367,6170.2744,5740.0,-1803.2744140625,-1373.0
508,5260,5815.936,6230.0,-555.93603515625,-970.0
42,1472,1512.0458,1969.0,-40.0457763671875,-497.0
346,3523,3542.6233,3392.0,-19.623291015625,131.0
130,4182,4738.6753,5202.0,-556.67529296875,-1020.0
236,3542,4196.0254,3820.0,-654.025390625,-278.0
417,4773,4463.6313,4569.0,309.36865234375,204.0
430,3956,3210.4841,3624.0,745.515869140625,332.0
730,2729,2364.195,1787.0,364.804931640625,942.0
94,1795,2156.3145,2660.0,-361.314453125,-865.0
485,5572,6301.8013,5740.0,-729.80126953125,-168.0
238,1115,3972.4927,4294.0,-2857.49267578125,-3179.0
335,3940,3764.935,3614.0,175.06494140625,326.0
668,1096,3857.295,4094.0,-2761.294921875,-2998.0
320,3053,3126.3347,3727.0,-73.334716796875,-674.0
285,2913,4175.8228,4563.0,-1262.82275390625,-1650.0
407,1529,2180.716,1749.0,-651.716064453125,-220.0
592,7347,7451.0054,7580.0,-104.00537109375,-233.0
594,7148,7058.174,7030.0,89.826171875,118.0
700,5191,4785.45,5582.0,405.5498046875,-391.0
32,1526,1401.7201,1807.0,124.2799072265625,-281.0
184,6043,4843.4688,5423.0,1199.53125,620.0
582,5464,5462.6997,4459.0,1.30029296875,1005.0
456,6041,5097.719,3214.0,943.28076171875,2827.0
284,2416,2996.2224,2424.0,-580.222412109375,-8.0
580,7175,6580.413,7001.0,594.5869140625,174.0
