,engine,cycle,op1,op2,op3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,RUL,RUL_A1,error_A1,RUL_A2,error_A2,RUL_A3,error_A3,RUL_A4,error_A4,RUL_A5,error_A5,RUL_A6,error_A6,RUL_A7,error_A7,RUL_A8,error_A8,RUL_A9,error_A9,RUL_A10,error_A10,RUL_A11,error_A11,RUL_A12,error_A12
0,91.0,26.0,0.0004,-0.0001,100.0,518.67,642.27,1594.66,1411.07,14.62,21.61,552.57,2388.13,9059.95,1.3,47.69,521.21,2388.11,8133.55,8.5015,0.03,394.0,2388.0,100.0,38.92,23.2179,109.0,66.0014419555664,-43.9985580444336,65.93031311035156,-44.06968688964844,98.7464828491211,-11.253517150878906,94.41553497314452,-15.584465026855469,101.11573791503906,-8.884262084960938,93.62548828125,-16.37451171875,93.3632583618164,-16.636741638183594,94.36614227294922,-15.63385772705078,87.04910278320312,-22.950897216796875,75.87171936035156,-34.12828063964844,92.74372863769533,-17.256271362304688,91.78556060791016,-18.214439392089844
1,91.0,27.0,-0.0023,0.0001,100.0,518.67,643.01,1585.92,1409.74,14.62,21.61,552.75,2388.16,9054.77,1.3,47.57,521.63,2388.13,8133.62,8.4622,0.03,393.0,2388.0,100.0,38.72,23.2012,108.0,58.88823699951172,-50.11176300048828,52.096588134765625,-56.903411865234375,98.65974426269533,-10.340255737304688,93.86988830566406,-15.130111694335938,101.19583892822266,-7.804161071777344,93.06118774414062,-15.938812255859377,93.33679962158205,-15.663200378417969,94.96153259277344,-14.038467407226562,81.48790740966797,-27.51209259033203,70.85360717773438,-38.146392822265625,92.9968719482422,-16.003128051757812,92.69295501708984,-16.307044982910156
2,91.0,28.0,-0.0017,0.0004,100.0,518.67,642.17,1595.63,1408.2,14.62,21.61,553.07,2388.1,9054.88,1.3,47.62,521.17,2388.08,8129.48,8.4117,0.03,394.0,2388.0,100.0,38.92,23.3562,107.0,53.41445159912109,-54.585548400878906,51.84294891357422,-56.15705108642578,98.77745819091795,-9.222541809082031,94.39218139648438,-13.607818603515623,101.22784423828124,-6.77215576171875,92.38812255859376,-15.61187744140625,92.64513397216795,-15.354866027832031,95.42570495605467,-12.574295043945312,73.55030059814453,-34.44969940185547,68.85279846191406,-39.14720153808594,92.29840087890624,-15.70159912109375,93.58130645751952,-14.418693542480469
3,91.0,29.0,-0.004,-0.0002,100.0,518.67,642.81,1597.33,1416.34,14.62,21.61,552.73,2388.08,9052.51,1.3,47.65,521.18,2388.15,8136.33,8.42,0.03,393.0,2388.0,100.0,38.68,23.3409,106.0,68.92735290527344,-38.07264709472656,66.22879028320312,-40.77120971679688,101.17941284179688,-5.820587158203125,98.2931900024414,-8.706809997558594,103.19915008544922,-3.800849914550781,97.02037048339844,-9.979629516601562,97.30793762207033,-9.692062377929688,103.81057739257812,-3.189422607421875,84.71492004394531,-22.285079956054688,79.90460968017578,-27.09539031982422,99.39588928222656,-7.604110717773437,102.63196563720705,-4.368034362792969
4,91.0,30.0,-0.0014,-0.0001,100.0,518.67,642.77,1594.94,1411.04,14.62,21.61,552.63,2388.07,9044.73,1.3,47.76,521.35,2388.16,8132.32,8.4689,0.03,394.0,2388.0,100.0,39.0,23.3011,105.0,77.01306915283203,-28.98693084716797,75.67205810546875,-30.32794189453125,101.45670318603516,-4.543296813964844,99.68305206298828,-6.316947937011719,103.28401947021484,-2.715980529785156,97.7944564819336,-8.205543518066406,98.42743682861328,-7.572563171386719,106.17350769042967,0.1735076904296875,89.81131744384766,-16.188682556152344,85.25308227539062,-20.74691772460937,99.73381042480467,-6.2661895751953125,103.83968353271484,-2.160316467285156
5,91.0,31.0,0.0003,-0.0003,100.0,518.67,643.14,1582.25,1411.22,14.62,21.61,553.08,2388.16,9056.38,1.3,47.64,521.13,2388.04,8134.37,8.4659,0.03,393.0,2388.0,100.0,38.99,23.2428,104.0,78.96326446533203,-26.03673553466797,78.25991821289062,-26.74008178710937,100.32505798339844,-4.6749420166015625,98.00838470458984,-6.991615295410156,102.2723388671875,-2.7276611328125,96.41748046875,-8.58251953125,97.26273345947266,-7.737266540527344,103.4481201171875,-1.5518798828125,91.46653747558594,-13.533462524414062,85.4100341796875,-19.5899658203125,96.626220703125,-8.373779296875,100.44441986083984,-4.555580139160156
6,91.0,32.0,0.0014,-0.0003,100.0,518.67,642.68,1595.51,1415.85,14.62,21.61,552.39,2388.11,9051.55,1.3,47.63,521.32,2388.12,8129.68,8.4983,0.03,393.0,2388.0,100.0,38.64,23.3462,103.0,83.09801483154297,-20.90198516845703,82.08409118652344,-21.91590881347656,101.40869140625,-2.59130859375,99.15074157714844,-4.8492584228515625,103.09402465820312,-0.905975341796875,98.04840087890624,-5.95159912109375,98.74735260009766,-5.252647399902344,105.18180847167967,1.1818084716796875,96.40294647216795,-7.597053527832031,89.57174682617188,-14.428253173828123,99.15312957763672,-4.846870422363281,102.04721069335938,-1.952789306640625
7,91.0,33.0,0.0059,0.0,100.0,518.67,642.98,1594.07,1412.48,14.62,21.61,553.11,2388.11,9054.22,1.3,47.66,521.19,2388.15,8137.0,8.4534,0.03,394.0,2388.0,100.0,38.49,23.2809,102.0,77.27569580078125,-25.72430419921875,79.00624084472656,-23.99375915527344,100.18354034423828,-2.8164596557617188,97.32335662841795,-5.676643371582031,102.22761535644533,-0.7723846435546875,96.04464721679688,-6.955352783203125,96.95970153808594,-6.040298461914063,102.17539978027344,-0.8246002197265625,92.67491912841795,-10.325080871582031,84.74557495117188,-18.254425048828125,96.07846069335938,-6.921539306640625,98.56159973144533,-4.438400268554688
8,91.0,34.0,-0.001,0.0,100.0,518.67,642.85,1584.26,1407.43,14.62,21.61,552.9,2388.12,9053.41,1.3,47.64,520.74,2388.17,8132.31,8.466,0.03,394.0,2388.0,100.0,38.86,23.2882,101.0,67.35204315185547,-34.64795684814453,71.21025848388672,-30.78974151611328,97.67914581298828,-4.320854187011719,93.6650390625,-8.3349609375,100.21498107910156,-1.7850189208984375,91.634033203125,-10.365966796875,92.1942367553711,-9.805763244628906,94.28370666503906,-7.7162933349609375,84.18659210205078,-17.81340789794922,74.38518524169922,-27.61481475830078,89.45310974121094,-12.546890258789062,90.71875762939452,-11.281242370605469
9,91.0,35.0,0.0006,0.0006,100.0,518.67,642.87,1591.82,1411.63,14.62,21.61,552.67,2388.13,9053.01,1.3,47.69,521.35,2388.11,8133.62,8.4763,0.03,394.0,2388.0,100.0,38.74,23.225,100.0,65.48065948486328,-35.51934051513672,65.93232727050781,-35.06767272949219,98.21900939941406,-2.780990600585937,93.18666076660156,-7.813339233398437,100.71858978271484,-0.2814102172851562,91.9753875732422,-9.024612426757812,91.75055694580078,-9.24944305419922,93.41159057617188,-7.588409423828125,82.90430450439453,-18.09569549560547,70.917236328125,-30.082763671875,90.6345443725586,-10.365455627441406,91.2294692993164,-9.770530700683594
10,91.0,36.0,-0.0016,0.0,100.0,518.67,642.64,1595.3,1409.01,14.62,21.61,553.49,2388.17,9050.42,1.3,47.53,521.69,2388.19,8129.35,8.4646,0.03,392.0,2388.0,100.0,38.63,23.3079,99.0,65.1408462524414,-34.859153747558594,59.96134948730469,-40.03865051269531,98.79936981201172,-1.2006301879882812,93.8286361694336,-6.171363830566406,101.05587005615234,1.0558700561523438,92.40562438964844,-7.594375610351562,92.45594787597656,-7.544052124023437,94.84571838378906,-5.1542816162109375,82.22843170166016,-17.771568298339844,70.29977416992188,-29.700225830078125,92.19287109375,-7.80712890625,93.35370635986328,-6.646293640136719
11,91.0,37.0,-0.0008,0.0004,100.0,518.67,642.45,1589.87,1411.27,14.62,21.61,552.36,2388.13,9054.34,1.3,47.61,521.31,2388.16,8133.51,8.4764,0.03,393.0,2388.0,100.0,38.68,23.2306,98.0,71.41442108154297,-27.58557891845703,62.67989349365234,-36.320106506347656,99.66239166259766,0.6623916625976562,95.35218811035156,-3.6478118896484375,102.06756591796876,3.06756591796875,94.5279541015625,-4.4720458984375,93.58284759521484,-5.417152404785156,98.10189056396484,-0.8981094360351562,86.5246810913086,-12.475318908691406,77.03884887695312,-21.961151123046875,94.68262481689452,-4.317375183105469,96.8466567993164,-2.1533432006835938
12,91.0,38.0,-0.0018,0.0005,100.0,518.67,642.42,1584.63,1416.45,14.62,21.61,552.82,2388.07,9050.58,1.3,47.75,521.77,2388.12,8135.5,8.4485,0.03,393.0,2388.0,100.0,38.89,23.2898,97.0,74.46967315673828,-23.53032684326172,60.35723876953125,-37.64276123046875,99.81291961669922,1.8129196166992188,95.93495178222656,-2.065048217773437,102.47884368896484,4.478843688964844,95.7780303955078,-2.2219696044921875,94.1133804321289,-3.8866195678710938,100.166748046875,2.166748046875,88.97966003417969,-9.020339965820312,78.01486206054688,-19.985137939453125,95.52687072753906,-2.473129272460937,97.90874481201172,-0.0912551879882812
13,91.0,39.0,-0.0003,-0.0,100.0,518.67,642.64,1591.45,1415.49,14.62,21.61,553.77,2388.14,9050.17,1.3,47.78,521.16,2388.16,8132.3,8.4393,0.03,393.0,2388.0,100.0,38.68,23.2113,96.0,82.5253677368164,-14.474632263183594,66.75631713867188,-30.243682861328125,100.9649887084961,3.9649887084960938,97.6946792602539,0.6946792602539062,103.2345733642578,6.2345733642578125,97.0813217163086,0.0813217163085937,96.33557891845705,-0.6644210815429688,102.6745147705078,5.6745147705078125,94.01117706298828,-2.9888229370117188,86.39886474609375,-10.60113525390625,98.71409606933594,1.7140960693359375,100.59877014160156,3.5987701416015625
14,91.0,40.0,-0.0008,-0.0001,100.0,518.67,642.66,1588.14,1412.1,14.62,21.61,552.34,2388.1,9051.04,1.3,47.61,521.15,2388.11,8129.67,8.4725,0.03,393.0,2388.0,100.0,38.89,23.2626,95.0,85.43434143066406,-10.565658569335938,73.33589935302734,-22.664100646972656,101.43920135498048,5.439201354980469,99.01221466064452,3.0122146606445312,103.48104858398438,7.481048583984375,98.35567474365234,2.355674743652344,97.57579040527344,1.5757904052734375,104.70372009277344,8.703720092773438,95.95806121826172,-0.0419387817382812,89.24076843261719,-6.7592315673828125,99.93132781982422,3.9313278198242174,101.81624603271484,5.816246032714844
15,91.0,41.0,0.0048,-0.0001,100.0,518.67,642.68,1585.25,1411.17,14.62,21.61,552.55,2388.09,9052.66,1.3,47.49,521.06,2388.11,8137.54,8.4214,0.03,394.0,2388.0,100.0,38.93,23.2229,94.0,81.3753662109375,-13.6246337890625,73.88740539550781,-21.112594604492188,100.49337005615234,5.493370056152344,97.5937957763672,2.5937957763671875,102.86344146728516,7.863441467285156,96.89222717285156,1.8922271728515625,96.96432495117188,1.964324951171875,102.60198974609376,7.60198974609375,93.95922088623048,-1.0407791137695312,87.45399475097656,-7.546005249023437,97.35629272460938,2.356292724609375,99.39012908935548,4.390129089355469
16,91.0,42.0,0.0013,-0.0004,100.0,518.67,643.45,1598.44,1410.54,14.62,21.61,553.42,2388.09,9061.63,1.3,47.75,520.92,2388.17,8134.39,8.5081,0.03,393.0,2388.0,100.0,38.74,23.4344,93.0,83.72740173339844,-10.272598266601562,78.56953430175781,-15.430465698242188,101.39417266845705,7.394172668457031,99.21502685546876,5.21502685546875,103.43928527832033,9.439285278320312,98.27590942382812,4.275909423828125,98.82617950439452,4.826179504394531,104.42495727539062,10.424957275390623,95.98966217041016,1.989662170410156,89.35030364990234,-4.649696350097656,99.72511291503906,5.725112915039063,101.82913970947266,7.829139709472656
17,91.0,43.0,-0.0043,0.0003,100.0,518.67,642.61,1593.71,1411.55,14.62,21.61,552.62,2388.11,9051.9,1.3,47.6,521.3,2388.17,8132.27,8.4885,0.03,394.0,2388.0,100.0,38.71,23.2403,92.0,75.96639251708984,-17.033607482910156,77.76884460449219,-15.231155395507812,100.04817199707033,7.0481719970703125,97.45681762695312,4.456817626953125,102.06888580322266,9.068885803222656,95.19351196289062,2.193511962890625,96.4918441772461,3.4918441772460938,101.08384704589844,8.083847045898438,90.54817962646484,-2.451820373535156,83.07479858398438,-9.925201416015623,95.39186096191406,2.3918609619140625,97.98419952392578,4.984199523925781
18,91.0,44.0,-0.0029,0.0006,100.0,518.67,642.92,1588.1,1407.6,14.62,21.61,552.88,2388.16,9055.76,1.3,47.51,521.19,2388.18,8135.12,8.4703,0.03,394.0,2388.0,100.0,38.75,23.1009,91.0,67.6742172241211,-24.325782775878903,72.60602569580078,-19.39397430419922,97.80628967285156,5.8062896728515625,94.18026733398438,2.180267333984375,99.88055419921876,7.88055419921875,91.7526397705078,-0.2473602294921875,92.2684555053711,0.2684555053710937,94.7579116821289,2.7579116821289062,83.44660949707031,-8.553390502929688,73.73833465576172,-18.26166534423828,89.47511291503906,-2.524887084960937,90.66355895996094,-1.3364410400390625
19,91.0,45.0,0.0019,0.0004,100.0,518.67,643.07,1593.88,1409.09,14.62,21.61,553.11,2388.14,9049.33,1.3,47.77,521.12,2388.13,8135.23,8.4625,0.03,395.0,2388.0,100.0,38.74,23.2155,90.0,63.207740783691406,-27.7922592163086,65.78131866455078,-25.21868133544922,97.43778228759766,6.437782287597656,92.08619689941406,1.0861968994140625,99.91618347167967,8.916183471679688,90.7493896484375,-0.2506103515625,90.00716400146484,-0.9928359985351562,90.75060272216795,-0.2493972778320312,80.12871551513672,-10.87128448486328,67.40447998046875,-23.59552001953125,88.56039428710938,-2.439605712890625,88.00553131103516,-2.994468688964844
20,91.0,46.0,-0.0015,0.0,100.0,518.67,642.87,1590.17,1410.16,14.62,21.61,553.43,2388.12,9050.7,1.3,47.85,521.07,2388.11,8138.45,8.446,0.03,392.0,2388.0,100.0,38.78,23.311,89.0,58.61214447021485,-31.38785552978516,54.09815979003906,-35.90184020996094,96.56420135498048,6.564201354980469,89.85813903808594,-0.1418609619140625,99.48167419433594,9.481674194335938,88.54884338378906,-1.4511566162109375,87.8493881225586,-2.1506118774414062,87.33619689941406,-2.663803100585937,72.8212661743164,-17.178733825683594,63.84831237792969,-26.151687622070312,85.832763671875,-4.167236328125,86.03600311279297,-3.9639968872070312
21,91.0,47.0,-0.0026,0.0003,100.0,518.67,643.05,1592.53,1415.67,14.62,21.61,553.38,2388.12,9053.53,1.3,47.61,520.62,2388.12,8134.81,8.4477,0.03,393.0,2388.0,100.0,38.87,23.1781,88.0,65.39322662353516,-23.606773376464844,58.07788848876953,-30.92211151123047,98.73639678955078,9.73639678955078,92.77830505371094,3.7783050537109375,101.18536376953124,12.18536376953125,91.91394805908205,2.9139480590820312,89.9959487915039,0.9959487915039062,92.48388671875,3.48388671875,82.09590911865234,-6.904090881347656,71.83478546142578,-17.16521453857422,92.0501480102539,3.0501480102539062,92.54397583007812,3.543975830078125
22,91.0,48.0,-0.0028,0.0005,100.0,518.67,643.16,1591.87,1411.17,14.62,21.61,553.61,2388.12,9052.57,1.3,47.64,521.37,2388.11,8130.97,8.4663,0.03,393.0,2388.0,100.0,38.67,23.2761,87.0,69.44369506835938,-18.556304931640625,59.98013305664063,-28.01986694335937,100.17597198486328,12.17597198486328,95.13328552246094,7.1332855224609375,102.16876220703124,14.16876220703125,94.87174987792967,6.871749877929688,92.98697662353516,4.986976623535156,96.73764038085938,8.737640380859375,87.45467376708984,-0.5453262329101562,74.00373840332031,-13.996261596679688,96.0383758544922,8.038375854492188,95.97882843017578,7.978828430175781
23,91.0,49.0,-0.0009,-0.0004,100.0,518.67,642.37,1589.87,1416.56,14.62,21.61,552.67,2388.12,9057.42,1.3,47.72,521.77,2388.11,8135.86,8.4821,0.03,393.0,2388.0,100.0,38.78,23.1934,86.0,69.76688385009766,-17.233116149902344,61.97936630249024,-25.02063369750977,99.74187469482422,12.74187469482422,94.92281341552734,7.922813415527344,102.14191436767578,15.14191436767578,94.3676528930664,7.367652893066406,93.53980255126952,6.539802551269531,97.52760314941406,10.527603149414062,87.23103332519531,0.2310333251953125,76.74226379394531,-10.257736206054688,95.218505859375,8.218505859375,96.02424621582033,9.024246215820312
24,91.0,50.0,0.0003,0.0001,100.0,518.67,643.11,1582.51,1417.34,14.62,21.61,553.41,2388.1,9064.04,1.3,47.61,520.88,2388.1,8133.32,8.4802,0.03,394.0,2388.0,100.0,38.83,23.291,85.0,73.54972076416016,-12.450279235839844,66.62921905517578,-19.37078094482422,99.7035140991211,13.703514099121094,94.98757934570312,8.987579345703125,102.27892303466795,16.27892303466797,94.5063705444336,8.506370544433594,93.7482681274414,7.748268127441406,98.62478637695312,12.624786376953123,88.09452056884766,2.094520568847656,78.80076599121094,-7.199234008789063,95.29261779785156,9.292617797851562,96.27430725097656,10.274307250976562
25,91.0,51.0,0.0003,-0.0003,100.0,518.67,643.14,1586.36,1415.3,14.62,21.61,552.98,2388.13,9053.75,1.3,47.41,521.2,2388.16,8133.07,8.4525,0.03,394.0,2388.0,100.0,38.71,23.3027,84.0,73.32176971435547,-11.678230285644531,68.69276428222656,-16.307235717773438,99.3463134765625,14.3463134765625,95.46041870117188,10.460418701171877,101.75486755371094,16.754867553710938,93.5466766357422,8.546676635742188,93.37543487548828,8.375434875488281,97.58087158203124,12.58087158203125,86.8990478515625,1.8990478515625,78.86839294433594,-6.131607055664063,94.41050720214844,9.410507202148438,94.82112884521484,9.821128845214844
