,mae,mse,rmse,r2
A1,12.912923078320244,279.4852257955147,16.717811632971426,0.7228016605053165
A2,13.500508992997084,304.5666572504779,17.451838219811627,0.6979254577233049
A3,32.37038927598433,1385.1662582758308,37.217821783062895,-0.37383214309529467
A4,21.279481191201643,661.1827183832115,25.71347347954398,0.3442274055212383
A5,35.55872138716958,1659.6026071609888,40.73822047121092,-0.6460229180867727
A6,21.78444298397411,693.0075910791879,26.325037342408233,0.3126629396685465
A7,39.19477582411333,1951.5967081917754,44.17687979239565,-0.9356277790149026
A8,18.08866092291745,512.9418872625071,22.648220399459802,0.49125525686832927
A9,10.928681210265918,214.63682666514532,14.650488956521052,0.7871194379715891
A10,10.994372538693927,209.79168384713478,14.484187372688009,0.7919249354355222
A11,20.917643710916693,616.7468540968454,24.834388538815393,0.3882996735959877
A12,18.20324564754963,536.7361920403456,23.16756767639507,0.4676556488565875
