,mse,rmse
se,279.4852257955147,16.717811632971426
ae,304.5666572504779,17.451838219811627
lin_se_3,1385.1662582758308,37.217821783062895
lin_se_4,661.1827183832115,25.71347347954398
lin_se_5,1659.6026071609888,40.73822047121092
lin_se_6,693.0075910791879,26.325037342408233
lin_lin_0.01_1.0,1951.5967081917754,44.17687979239565
lin_lin_0.05_1.0,512.9418872625071,22.648220399459802
lin_lin_0.1_1.0,612.4536203615111,24.747800313593753
lin_lin_0.2_1.0,214.63682666514532,14.650488956521052
lin_lin_0.3_1.0,209.79168384713478,14.484187372688009
quad_quad_0.01,616.7468540968454,24.834388538815393
quad_quad_0.03,536.7361920403456,23.16756767639507
quad_quad_0.05,283.0270236203373,16.82340701583176
quad_quad_0.075,217.59424480560813,14.751076055854641
quad_quad_0.1,210.57289772138935,14.511130132466919
